epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,37.3526,0.89734,0.64603,0.91417,0.88033,0.95803,0.93529,0.32582,2.42342,1.5205,1.62151,0.000194344,0.000194344,0.000194344
42,38.0311,0.81832,0.68854,0.9063,0.88033,0.95803,0.93529,0.32582,2.42342,1.5205,1.62151,0.000189535,0.000189535,0.000189535
43,38.7854,0.79197,0.69068,0.89913,0.89473,0.96078,0.95438,0.33217,2.42033,1.40426,1.63492,0.000184255,0.000184255,0.000184255
44,39.8784,0.73728,0.60638,0.88963,0.89473,0.96078,0.95438,0.33217,2.42033,1.40426,1.63492,0.000178504,0.000178504,0.000178504
45,46.2279,0.88639,0.66632,0.90672,0.94371,0.94943,0.95748,0.31208,2.53236,1.36624,1.74364,0.00017228,0.00017228,0.00017228
46,47.929,0.83526,0.66442,0.93009,0.94371,0.94943,0.95748,0.31208,2.53236,1.36624,1.74364,0.000165585,0.000165585,0.000165585
47,48.6884,0.73081,0.64922,0.91038,0.97004,0.97825,0.98426,0.32654,2.48529,1.30109,1.74071,0.000158419,0.000158419,0.000158419
48,49.4537,0.79487,0.62737,0.90542,0.97004,0.97825,0.98426,0.32654,2.48529,1.30109,1.74071,0.000150781,0.000150781,0.000150781
49,50.2346,0.82041,0.57792,0.88853,0.95727,0.95614,0.9837,0.40929,2.17718,1.13763,1.52904,0.000142671,0.000142671,0.000142671
50,51.105,0.69878,0.61152,0.91067,0.95727,0.95614,0.9837,0.40929,2.17718,1.13763,1.52904,0.00013409,0.00013409,0.00013409
51,54.9863,0.73345,0.71186,0.91912,0.9725,0.96398,0.98963,0.50913,1.80977,0.88332,1.29253,0.000125037,0.000125037,0.000125037
52,55.6631,0.85766,0.67357,0.95216,0.9725,0.96398,0.98963,0.50913,1.80977,0.88332,1.29253,0.000115513,0.000115513,0.000115513
53,56.3804,0.67592,0.6388,0.87845,0.9725,0.96398,0.98963,0.50913,1.80977,0.88332,1.29253,0.000105517,0.000105517,0.000105517
54,57.0718,0.69395,0.64417,0.91201,0.97172,1,0.99074,0.58244,1.53719,0.68487,1.13304,9.50499e-05,9.50499e-05,9.50499e-05
55,57.7658,0.89545,0.68364,0.99354,0.97172,1,0.99074,0.58244,1.53719,0.68487,1.13304,8.41109e-05,8.41109e-05,8.41109e-05
56,58.4796,0.79105,0.66484,0.87493,0.97172,1,0.99074,0.58244,1.53719,0.68487,1.13304,7.27004e-05,7.27004e-05,7.27004e-05
57,59.2378,1.04827,0.64197,1.05315,0.95756,1,0.99074,0.60487,1.47565,0.63451,1.09328,6.08182e-05,6.08182e-05,6.08182e-05
58,59.951,0.77878,0.62945,0.92449,0.95756,1,0.99074,0.60487,1.47565,0.63451,1.09328,4.84645e-05,4.84645e-05,4.84645e-05
59,60.8127,0.6228,0.58173,0.84893,0.95756,1,0.99074,0.60487,1.47565,0.63451,1.09328,3.56393e-05,3.56393e-05,3.56393e-05
60,61.5558,0.64365,0.58333,0.89215,0.9553,1,0.99185,0.60924,1.4746,0.61727,1.08879,2.23424e-05,2.23424e-05,2.23424e-05
